Time,"Time Code","Country Name","Country Code","Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita) [EN.GHG.CO2.PC.CE.AR5]","GDP per capita (current US$) [NY.GDP.PCAP.CD]","Life expectancy at birth, total (years) [SP.DYN.LE00.IN]","Current health expenditure per capita (current US$) [SH.XPD.CHEX.PC.CD]","Electric power consumption (kWh per capita) [EG.USE.ELEC.KH.PC]","Mortality rate, infant (per 1,000 live births) [SP.DYN.IMRT.IN]","Population, total [SP.POP.TOTL]","School enrollment, primary (% gross) [SE.PRM.ENRR]"
2000,"YR2000","Afghanistan","AFG","0.0501382814099344","174.930991430166","55.005","NA","NA","110.1","20130327","21.4578495025635"
2000,"YR2000","Albania","ALB","1.04657550743325","1160.42047054038","74.826","65.47674561","1449.64741324695","17.9","3089027","NA"
2000,"YR2000","Algeria","DZA","2.84556706172908","1772.92869122761","70.576","61.85785294","686.353657773796","34.7","30903893","109.734397888184"
2000,"YR2000","American Samoa","ASM","0.00175886025855246","NA","71.443","NA","NA","NA","56855","NA"
2000,"YR2000","Andorra","AND","NA","21810.2503808666","81.863","1294.09118652","NA","6.6","65685","NA"
2000,"YR2000","Angola","AGO","1.0195821898899","563.733795571487","46.501","13.15998554","76.1969732512193","115","16194869","NA"
2000,"YR2000","Antigua and Barbuda","ATG","1.81145877829987","12027.4949768222","74.819","520.12213135","NA","12.2","74912","135.142150878906"
2000,"YR2000","Argentina","ARG","3.67485781688948","7637.01489203628","73.91","702.23309326","2091.79431043986","16.7","37213984","116.558296203613"
2000,"YR2000","Armenia","ARM","1.10822389866816","593.450581742282","72.8804878048781","25.6606369","1236.53410325665","27.8","3221100","90.6347198486328"
2000,"YR2000","Aruba","ABW","2.9683843334658","20681.0230269625","72.939","NA","NA","NA","90588","NA"
2000,"YR2000","Australia","AUS","18.5978917642845","21908.9968019784","79.2341463414634","1626.73388672","10260.4462435418","5.1","19028802","101.583541870117"
2000,"YR2000","Austria","AUT","8.32478943567338","24487.2974685956","78.1268292682927","2301.89208984","7076.26948339438","4.5","8011566","101.86939239502"
2000,"YR2000","Azerbaijan","AZE","3.57759113386179","655.097249579917","65.377","19.01968193","2040.4790895311","59.9","8048600","97.2074890136719"
2000,"YR2000","Bahamas, The","BHS","3.07965476245619","24940.0775086078","72.481","948.88244629","NA","13.7","323835","NA"
2000,"YR2000","Bahrain","BHR","27.8732774764658","14214.4836839343","74.673","451.50253296","20863.1987728637","10.5","637582","98.8778915405273"
2000,"YR2000","Bangladesh","BGD","0.200508674079581","396.670730249751","62.049","8.27585602","99.2535514546941","59.8","134544304","NA"
2000,"YR2000","Barbados","BRB","2.24373528502688","11674.6736471764","74.58","622.47875977","NA","13","262063","102.616241455078"
2000,"YR2000","Belarus","BLR","5.63748483157157","1276.2880341","68.9121951219512","57.02944183","2996.30947501957","9.9","9979610","117.421142578125"
2000,"YR2000","Belgium","BEL","12.1836556517498","23098.8865077401","77.7219512195122","1849.91601563","8247.67711254725","4.8","10251250","102.907371520996"
2000,"YR2000","Belize","BLZ","0.580151910929863","4726.50675459616","68.911","139.00151062","NA","19.6","240799","117.034683227539"
2000,"YR2000","Benin","BEN","0.214093266343738","487.424141384242","56.594","14.42371464","55.2507685603464","79.7","7221619","77.2928009033203"
2000,"YR2000","Bermuda","BMU","2.44354183590577","56542.9569455727","78.251","NA","NA","NA","61550","NA"
2000,"YR2000","Bhutan","BTN","0.679217843960842","771.924911410619","61.842","30.5911293","NA","60.1","596863","77.8631820678711"
2000,"YR2000","Bolivia","BOL","0.953345248599693","975.777060358751","62.057","42.89028168","400.867919713941","59.6","8606326","119.13207244873"
2000,"YR2000","Bosnia and Herzegovina","BIH","3.43316975862373","1338.48059636261","75.292","106.5786972","1830.87001664274","8.3","4159771","NA"
2000,"YR2000","Botswana","BWA","2.44404673473305","3450.81180622992","52.263","206.93144226","1132.1213653181","42.5","1677382","107.469581604004"
2000,"YR2000","Brazil","BRA","2.00787868943563","3766.54786339835","69.584","313.92590332","1905.7710269775","29.1","174018282","NA"
2000,"YR2000","British Virgin Islands","VGB","1.37344992836322","NA","74.753","NA","NA","14.5","20241","111.543090820312"
2000,"YR2000","Brunei Darussalam","BRN","18.6101512143715","20130.2572346624","74.017","519.05047607","7701.63958532461","8.3","326424","112.037879943848"
2000,"YR2000","Bulgaria","BGR","5.89680364134317","1621.26210738992","71.6634146341463","94.51976013","3673.60687143429","14.3","8170172","104.70467376709"
2000,"YR2000","Burkina Faso","BFA","0.0731706539893436","248.908526921752","50.808","10.00902748","28.5940786275111","92.4","11925546","42.8175315856934"
2000,"YR2000","Burundi","BDI","0.0452072998120304","134.537861752389","47.617","5.67927122","NA","88.6","6470194","59.2368316650391"
2000,"YR2000","Cabo Verde","CPV","0.618110505452035","1189.51479345891","68.117","59.54011154","NA","29.4","453317","116.196441650391"
2000,"YR2000","Cambodia","KHM","0.160595894702245","296.426687526334","59.491","19.27847862","31.9362276863663","86.7","12462336","102.792739868164"
2000,"YR2000","Cameroon","CMR","0.383989921027349","708.565731625965","53.338","30.438097","182.328658169038","82.8","14912631","88.4889526367188"
2000,"YR2000","Canada","CAN","17.6990281801997","24271.0020563821","79.1668292682927","1988.15942383","16844.4746140959","5.3","30685730","99.4177627563477"
2000,"YR2000","Cayman Islands","CYM","3.32963653778293","NA","74.378","NA","NA","NA","39674","108.018867492676"
2000,"YR2000","Central African Republic","CAF","0.0668855141210868","239.154133726071","46.609","9.9123354","NA","99.8","3833416","NA"
2000,"YR2000","Chad","TCD","0.0282421726360368","163.121663683369","47.937","10.07452297","7.04879516706408","102","8512093","61.5406112670898"
2000,"YR2000","Channel Islands","CHI","NA","43479.1940767689","78.8","NA","NA","NA","148110","NA"
2000,"YR2000","Chile","CHL","3.47382404191017","5052.99245766325","77.128","353.25033569","2473.29094112445","9.2","15503635","101.363563537598"
2000,"YR2000","China","CHN","2.88907594771294","969.199513696287","72.288","42.80797577","992.943384720171","30","1262645000","NA"
2000,"YR2000","Colombia","COL","1.62232046746357","2555.00751039968","70.905","134.71453857","857.433015875647","21.6","39089934","124.298286437988"
2000,"YR2000","Comoros","COM","0.168071929562752","633.309032776244","58.941","47.59479904","NA","64.8","536080","93.0099029541016"
2000,"YR2000","Congo, Dem. Rep.","COD","0.0371727398112935","377.925421481395","51.887","17.52071953","90.0659352338612","91.2","50507442","NA"
2000,"YR2000","Congo, Rep.","COG","1.43173787700172","1024.30159109181","55.371","17.35089302","95.8320970887034","73.3","3151345","83.168701171875"
2000,"YR2000","Costa Rica","CRI","1.30313360027163","3812.75388284924","77.317","250.30950928","1516.35240426041","11.2","3937739","105.324829101562"
2000,"YR2000","Cote d'Ivoire","CIV","0.393649269755518","936.636541348798","51.393","30.33073425","161.76051488547","91.4","17699004","64.5294876098633"
2000,"YR2000","Croatia","HRV","4.33677043315335","4953.65158789022","72.8078048780488","385.78341675","2828.81506218693","7.2","4468302","NA"
2000,"YR2000","Cuba","CUB","2.6101013141558","2751.3817714814","75.922","181.09315491","1139.69536170723","6.8","11109109","103.836959838867"
2000,"YR2000","Curacao","CUW","NA","15841.2612359949","73.283","NA","7291.19976094427","NA","133860","NA"
2000,"YR2000","Cyprus","CYP","7.52680002574744","14388.3525390625","77.9","750.51672363","3357.71953650386","5.8","947667","96.7313537597656"
2000,"YR2000","Czechia","CZE","12.902573099746","6062.92152842793","74.9682926829268","342.92108154","5703.81673910731","4.5","10255063","103.40754699707"
2000,"YR2000","Denmark","DNK","9.95378693898587","30722.0251837567","76.5926829268293","2491.54174805","6482.48862839575","4.7","5339616","99.6710510253906"
2000,"YR2000","Djibouti","DJI","0.981643691172968","737.612183644052","56.734","35.48954773","NA","80.9","747318","NA"
2000,"YR2000","Dominica","DMA","0.791113835734408","4867.39896323759","71.715","259.0213623","NA","16.6","68511","117.881462097168"
2000,"YR2000","Dominican Republic","DOM","2.21497893219978","2831.45883638033","70.365","138.29624939","1358.07804813267","33.6","8584190","115.308647155762"
2000,"YR2000","Ecuador","ECU","1.73867458688905","1382.23421759909","72.09","49.37281418","637.786162506937","24.1","12689206","107.411689758301"
2000,"YR2000","Egypt, Arab Rep.","EGY","1.75027301728806","1366.09274372613","67.332","69.37174988","920.128329208633","39.6","73083284","89.0984268188477"
2000,"YR2000","El Salvador","SLV","0.975676073120854","1982.87093542615","67.711","155.52601624","609.250717522697","26.5","5943366","107.374649047852"
2000,"YR2000","Equatorial Guinea","GNQ","3.90257636016432","1487.3165506701","53.395","20.14153671","89.5803799061254","106.5","703279","81.5698776245117"
2000,"YR2000","Eritrea","ERI","0.298304740789068","314.357396753501","56.285","14.03034782","80.1057039266481","50.8","2247031","95.3378219604492"
2000,"YR2000","Estonia","EST","12.7571162181412","4070.60902410208","70.4170731707317","209.97769165","4540.49256076479","8.8","1396985","104.32495880127"
2000,"YR2000","Eswatini","SWZ","1.05395164651138","1629.67038842815","47.627","76.93126678","656.79931324142","73","1041414","98.570182800293"
2000,"YR2000","Ethiopia","ETH","0.0575065136518114","122.269202606069","50.88","5.28970861","22.3552381141412","92.2","67411494","52.2387313842773"
2000,"YR2000","Faroe Islands","FRO","0.0393408226603138","23322.7593357515","78.3829268292683","NA","NA","NA","45754","NA"
2000,"YR2000","Fiji","FJI","1.71635694230886","1995.72071163264","66.194","74.28569794","NA","16.6","840909","100.265716552734"
2000,"YR2000","Finland","FIN","11.1139059493154","24335.9225082659","77.4658536585366","1726.74438477","15305.409808607","3.5","5176209","99.7170867919922"
2000,"YR2000","France","FRA","6.58034817935345","22340.5939516217","79.0560975609756","2161.85302734","7223.79633393452","4.1","60918661","100.428260803223"
2000,"YR2000","French Polynesia","PYF","2.95293691774467","14978.324104668","79","NA","NA","NA","240337","NA"
2000,"YR2000","Gabon","GAB","5.17720677468618","3982.906200928","61.81","123.197258","847.46294211538","50.8","1275572","NA"
2000,"YR2000","Gambia, The","GMB","0.182944764700869","538.054072348854","56.899","74.83678436","NA","73.2","1455084","70.9850234985352"
2000,"YR2000","Georgia","GEO","1.27849706080084","749.908534993961","70.091","52.25807953","1574.3914041516","29.4","4077131","107.290756225586"
2000,"YR2000","Germany","DEU","10.5993032021746","23925.8559901991","77.9268292682927","2336.36230469","6635.42140596667","4.4","82211508","105.392036437988"
2000,"YR2000","Ghana","GHA","0.306420193585739","253.746936203344","58.139","10.46035767","320.210426322397","61.8","19637087","79.9403762817383"
2000,"YR2000","Gibraltar","GIB","12.3136886932044","NA","80.145","NA","4366.81222707424","NA","27709","105.813949584961"
2000,"YR2000","Greece","GRC","8.89024680060945","11638.2010697215","77.8878048780488","885.41052246","4586.32987001065","5.5","10805808","102.308349609375"
2000,"YR2000","Greenland","GRL","0.0231378481801192","19009.0774407515","66.0990243902439","NA","NA","NA","56185","NA"
2000,"YR2000","Grenada","GRD","0.53419698281077","4839.82811114248","72.955","259.33764648","NA","13.3","107451","94.5418395996094"
2000,"YR2000","Guam","GUM","0.00187423859057258","NA","74.894","NA","NA","NA","160065","NA"
2000,"YR2000","Guatemala","GTM","0.827443802109015","1648.96578971559","67.102","83.61930084","329.127567451489","40.8","11697592","98.8193283081055"
2000,"YR2000","Guinea","GIN","0.173226848037783","518.157066924026","52.42","22.71741867","NA","97","8428832","58.3812294006348"
2000,"YR2000","Guinea-Bissau","GNB","0.16286816425469","316.945495037639","50.565","13.2785511","NA","100.3","1234741","75.5002975463867"
2000,"YR2000","Guyana","GUY","2.17315698087946","931.796651718955","64.075","62.37635422","NA","41.3","764832","98.2578506469727"
2000,"YR2000","Haiti","HTI","0.20415141191579","820.600046761464","58.175","30.35855865","36.4921702616272","70.7","8303151","NA"
2000,"YR2000","Honduras","HND","0.760181295401954","1092.56400746252","68.302","68.48374939","488.767246908642","29.6","6577773","103.204963684082"
2000,"YR2000","Hong Kong SAR, China","HKG","6.28672168042011","25756.7728723704","80.8731707317073","NA","5825.95648912228","NA","6665000","NA"
2000,"YR2000","Hungary","HUN","5.82337370265766","4629.91760812548","71.2463414634146","313.10858154","3309.2837106285","8.7","10210971","101.967720031738"
2000,"YR2000","Iceland","ISL","10.1434896250067","32503.578963236","79.6536585365854","2855.57470703","26201.5255774257","3.2","281205","99.1379928588867"
2000,"YR2000","India","IND","0.942309744278839","442.750218937263","62.749","18.47883415","384.989363868788","66.3","1057922733","98.808967590332"
2000,"YR2000","Indonesia","IDN","1.38408579613851","763.711124950924","66.292","15.39148712","382.177177950589","41.3","216077790","108.993591308594"
2000,"YR2000","Iran, Islamic Rep.","IRN","5.32891818848676","1650.01385833785","70.166","79.89089203","1528.20008004076","31.5","66418659","97.7706298828125"
2000,"YR2000","Iraq","IRQ","3.6362101364327","1980.18916038782","64.86","NA","1193.90489442048","38.4","24424056","89.9259414672852"
2000,"YR2000","Ireland","IRL","11.5177387420391","26334.5672050501","76.5365853658537","1564.83764648","5797.36958152242","6","3805174","102.282279968262"
2000,"YR2000","Isle of Man","IMN","NA","21161.3963073772","74.842","NA","NA","NA","75659","NA"
2000,"YR2000","Israel","ISR","9.42660200349817","21706.5194056329","78.9536585365854","1473.00915527","6323.10383208777","5.6","6289000","98.2204437255859"
2000,"YR2000","Italy","ITA","7.97861399862471","20190.0035636084","79.7780487804878","1524.23962402","5299.85647879422","4.7","56942108","102.28849029541"
2000,"YR2000","Jamaica","JAM","3.9283295741357","3453.09252800226","71.281","206.44976807","2317.25582918492","18.9","2607826","92.0542831420898"
2000,"YR2000","Japan","JPN","9.80406329083986","39169.3595701504","81.0760975609756","2751.38452148","8048.23285478899","3.3","126843000","NA"
2000,"YR2000","Jordan","JOR","3.05659330102683","1570.61002940477","71.926","151.33486938","1226.66929029348","22.9","5386945","NA"
2000,"YR2000","Kazakhstan","KAZ","8.52997364123056","1180.0444563226","63.793","49.093647","3043.2673081393","36","15501103","98.0066375732422"
2000,"YR2000","Kenya","KEN","0.290677543795641","414.626365130846","56.084","21.53400993","109.062820119121","63.8","30642890","94.2572402954102"
2000,"YR2000","Kiribati","KIR","0.365634839131956","845.367240231973","64.674","65.61151886","NA","49.1","88613","105.911437988281"
2000,"YR2000","Korea, Dem. People's Rep.","PRK","3.11867576611252","NA","60.911","NA","690.191080757089","59.4","23665910","NA"
2000,"YR2000","Korea, Rep.","KOR","9.9217579706617","12710.2995795579","75.909756097561","475.2520752","5885.45240628793","5.8","47008111","98.9645385742188"
2000,"YR2000","Kosovo","XKX","NA","NA","71.321","NA","1468.52165306606","43.4","1802493","NA"
2000,"YR2000","Kuwait","KWT","28.6596112260188","19296.3471698729","76.2258780487805","425.20968628","14716.7685829451","10.6","1954709","91.778190612793"
2000,"YR2000","Kyrgyz Republic","KGZ","0.979490695052754","279.621738464365","68.5585365853659","12.0349474","1696.07717845272","44","4898362","94.7018585205078"
2000,"YR2000","Lao PDR","LAO","0.172061042728584","318.749852236965","58.317","14.10313892","117.653297275083","86.8","5431212","105.722198486328"
2000,"YR2000","Latvia","LVA","3.05416992249372","3278.17896440803","70.3146341463415","181.57072449","2082.32138708792","11.6","2367550","101.699783325195"
2000,"YR2000","Lebanon","LBN","3.53598931938817","3986.83513941026","73.895","425.70095825","2300.81259499138","17.6","4329340","85.1220779418945"
2000,"YR2000","Lesotho","LSO","0.175057500001248","442.779545779081","48.783","23.71122551","NA","78","2003913","108.976371765137"
2000,"YR2000","Liberia","LBR","0.136333350067637","298.485340578945","51.852","7.93455124","NA","123.9","2928117","108.483879089355"
2000,"YR2000","Libya","LBY","9.29018000117247","7214.10040377084","70.542","247.1134491","2243.91194681416","21.5","5305021","NA"
2000,"YR2000","Liechtenstein","LIE","NA","76087.911114202","76.8268292682927","NA","NA","NA","32645","NA"
2000,"YR2000","Lithuania","LTU","3.33092730007635","3300.63634928559","72.0195121951219","217.1761322","2516.90509827589","8.6","3499536","103.144233703613"
2000,"YR2000","Luxembourg","LUX","20.1714416685767","48659.5988753233","77.8731707317073","2901.19995117","15663.5342654137","3.9","436300","98.2414703369141"
2000,"YR2000","Macao SAR, China","MAC","3.38875986994891","15731.4081633771","80.1829268292683","NA","NA","NA","430600","NA"
2000,"YR2000","Madagascar","MDG","0.10257721778278","280.282905559649","57.974","11.1882658","45.8939505839612","65.5","16516338","95.8474273681641"
2000,"YR2000","Malawi","MWI","0.273808402340698","224.22415918428","46.17","8.84964848","NA","100.2","11315942","139.182037353516"
2000,"YR2000","Malaysia","MYS","5.69323613529471","4083.52874483605","72.732","111.8384552","2774.14273956218","7.7","22967816","97.4562911987305"
2000,"YR2000","Maldives","MDV","2.22609114988706","2213.81235053178","70.892","219.8586731","NA","33.5","282019","126.989768981934"
2000,"YR2000","Mali","MLI","0.0688623609235515","304.652870194271","50.605","14.00473022","NA","102.8","11559290","52.9354515075684"
2000,"YR2000","Malta","MLT","5.47313804356464","10348.4858902403","78.3487804878049","647.10150146","4311.8586366631","6.7","390087","106.36759185791"
2000,"YR2000","Marshall Islands","MHL","0.00197215319686033","2264.79114897645","63.323","306.73342896","NA","33.7","50706","NA"
