year,country,country_code,co2_per_capita,gdp_per_capita,life_expectancy,health_expenditure,electric_power,infant_mortality,population,school_enrollment,region
2000,Afghanistan,AFG,0.0501382814099344,174.930991430166,55.005,39.88624954,,110.1,20130327.0,21.4578495025635,South Asia
2000,Albania,ALB,1.04657550743325,1160.42047054038,74.826,65.47674561,1449.64741324695,17.9,3089027.0,104.131721496582,Other
2000,Algeria,DZA,2.84556706172908,1772.92869122761,70.576,61.85785294,686.353657773796,34.7,30903893.0,109.734397888184,Middle East & North Africa
2000,American Samoa,ASM,0.0017588602585524,10030.8089130902,71.443,,,,56855.0,,Other
2000,Andorra,AND,,21810.2503808666,81.863,1294.09118652,,6.6,65685.0,90.3239289446186,Other
2000,Angola,AGO,1.0195821898899,563.733795571487,46.501,13.15998554,76.1969732512193,115.0,16194869.0,106.341453552246,Other
2000,Antigua and Barbuda,ATG,1.81145877829987,12027.4949768222,74.819,520.12213135,,12.2,74912.0,135.142150878906,Other
2000,Argentina,ARG,3.67485781688948,7637.01489203628,73.91,702.23309326,2091.79431043986,16.7,37213984.0,116.558296203613,Latin America
2000,Armenia,ARM,1.10822389866816,593.450581742282,72.8804878048781,25.6606369,1236.53410325665,27.8,3221100.0,90.6347198486328,Other
2000,Aruba,ABW,2.9683843334658,20681.0230269625,72.939,,,,90588.0,115.669448852539,Other
2000,Australia,AUS,18.5978917642845,21908.9968019784,79.2341463414634,1626.73388672,10260.4462435418,5.1,19028802.0,101.583541870117,Other
2000,Austria,AUT,8.32478943567338,24487.2974685956,78.1268292682927,2301.89208984,7076.26948339438,4.5,8011566.0,101.86939239502,Europe
2000,Azerbaijan,AZE,3.57759113386179,655.097249579917,65.377,19.01968193,2040.4790895311,59.9,8048600.0,97.2074890136719,Other
2000,"Bahamas, The",BHS,3.07965476245619,24940.0775086078,72.481,948.88244629,,13.7,323835.0,96.1379623413086,Other
2000,Bahrain,BHR,27.8732774764658,14214.4836839343,74.673,451.50253296,20863.1987728637,10.5,637582.0,98.8778915405273,Other
2000,Bangladesh,BGD,0.200508674079581,396.670730249751,62.049,8.27585602,99.2535514546941,59.8,134544304.0,105.128820425409,South Asia
2000,Barbados,BRB,2.24373528502688,11674.6736471764,74.58,622.47875977,,13.0,262063.0,102.616241455078,Other
2000,Belarus,BLR,5.63748483157157,1276.2880341,68.9121951219512,57.02944183,2996.30947501957,9.9,9979610.0,117.421142578125,Other
2000,Belgium,BEL,12.1836556517498,23098.8865077401,77.7219512195122,1849.91601563,8247.67711254725,4.8,10251250.0,102.907371520996,Europe
2000,Belize,BLZ,0.580151910929863,4726.50675459616,68.911,139.00151062,,19.6,240799.0,117.034683227539,Other
2000,Benin,BEN,0.214093266343738,487.424141384242,56.594,14.42371464,55.2507685603464,79.7,7221619.0,77.2928009033203,Other
2000,Bermuda,BMU,2.44354183590577,56542.9569455727,78.251,,,,61550.0,102.6050758361815,Other
2000,Bhutan,BTN,0.679217843960842,771.924911410619,61.842,30.5911293,,60.1,596863.0,77.8631820678711,South Asia
2000,Bolivia,BOL,0.953345248599693,975.777060358751,62.057,42.89028168,400.867919713941,59.6,8606326.0,119.13207244873,Latin America
2000,Bosnia and Herzegovina,BIH,3.43316975862373,1338.48059636261,75.292,106.5786972,1830.87001664274,8.3,4159771.0,101.0491638183595,Other
2000,Botswana,BWA,2.44404673473305,3450.81180622992,52.263,206.93144226,1132.1213653181,42.5,1677382.0,107.469581604004,Other
2000,Brazil,BRA,2.00787868943563,3766.54786339835,69.584,313.92590332,1905.7710269775,29.1,174018282.0,106.4528388977055,Latin America
2000,British Virgin Islands,VGB,1.37344992836322,,74.753,,,14.5,20241.0,111.543090820312,Other
2000,Brunei Darussalam,BRN,18.6101512143715,20130.2572346624,74.017,519.05047607,7701.63958532461,8.3,326424.0,112.037879943848,Other
2000,Bulgaria,BGR,5.89680364134317,1621.26210738992,71.6634146341463,94.51976013,3673.60687143429,14.3,8170172.0,104.70467376709,Other
2000,Burkina Faso,BFA,0.0731706539893436,248.908526921752,50.808,10.00902748,28.5940786275111,92.4,11925546.0,42.8175315856934,Other
2000,Burundi,BDI,0.0452072998120304,134.537861752389,47.617,5.67927122,,88.6,6470194.0,59.2368316650391,Other
2000,Cabo Verde,CPV,0.618110505452035,1189.51479345891,68.117,59.54011154,,29.4,453317.0,116.196441650391,Other
2000,Cambodia,KHM,0.160595894702245,296.426687526334,59.491,19.27847862,31.9362276863663,86.7,12462336.0,102.792739868164,Other
2000,Cameroon,CMR,0.383989921027349,708.565731625965,53.338,30.438097,182.328658169038,82.8,14912631.0,88.4889526367188,Other
2000,Canada,CAN,17.6990281801997,24271.0020563821,79.1668292682927,1988.15942383,16844.4746140959,5.3,30685730.0,99.4177627563477,North America
2000,Cayman Islands,CYM,3.32963653778293,87085.0945866141,74.378,,,,39674.0,108.018867492676,Other
2000,Central African Republic,CAF,0.0668855141210868,239.154133726071,46.609,9.9123354,,99.8,3833416.0,60.0591640472412,Other
2000,Chad,TCD,0.0282421726360368,163.121663683369,47.937,10.07452297,7.04879516706408,102.0,8512093.0,61.5406112670898,Other
2000,Channel Islands,CHI,,43479.1940767689,78.8,,,,148110.0,,Other
2000,Chile,CHL,3.47382404191017,5052.99245766325,77.128,353.25033569,2473.29094112445,9.2,15503635.0,101.363563537598,Latin America
2000,China,CHN,2.88907594771294,969.199513696287,72.288,42.80797577,992.943384720171,30.0,1262645000.0,99.66376511565514,East Asia
2000,Colombia,COL,1.62232046746357,2555.00751039968,70.905,134.71453857,857.433015875647,21.6,39089934.0,124.298286437988,Latin America
2000,Comoros,COM,0.168071929562752,633.309032776244,58.941,47.59479904,,64.8,536080.0,93.0099029541016,Other
2000,"Congo, Dem. Rep.",COD,0.0371727398112935,377.925421481395,51.887,17.52071953,90.0659352338612,91.2,50507442.0,101.68780899047844,Other
2000,"Congo, Rep.",COG,1.43173787700172,1024.30159109181,55.371,17.35089302,95.8320970887034,73.3,3151345.0,83.168701171875,Other
2000,Costa Rica,CRI,1.30313360027163,3812.75388284924,77.317,250.30950928,1516.35240426041,11.2,3937739.0,105.324829101562,Other
2000,Cote d'Ivoire,CIV,0.393649269755518,936.636541348798,51.393,30.33073425,161.76051488547,91.4,17699004.0,64.5294876098633,Other
2000,Croatia,HRV,4.33677043315335,4953.65158789022,72.8078048780488,385.78341675,2828.81506218693,7.2,4468302.0,99.4886703491211,Other
2000,Cuba,CUB,2.6101013141558,2751.3817714814,75.922,181.09315491,1139.69536170723,6.8,11109109.0,103.836959838867,Other
2000,Curacao,CUW,,15841.2612359949,73.283,,7291.19976094427,,133860.0,113.350877192982,Other
2000,Cyprus,CYP,7.52680002574744,14388.3525390625,77.9,750.51672363,3357.71953650386,5.8,947667.0,96.7313537597656,Other
2000,Czechia,CZE,12.902573099746,6062.92152842793,74.9682926829268,342.92108154,5703.81673910731,4.5,10255063.0,103.40754699707,Other
2000,Denmark,DNK,9.95378693898587,30722.0251837567,76.5926829268293,2491.54174805,6482.48862839575,4.7,5339616.0,99.6710510253906,Other
